playCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
8500000,2024-03-26T02:22:11.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
849400,2024-06-30T11:18:54.000Z,False,False,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
849100,2024-05-13T22:05:55.000Z,False,False,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
847400,2024-06-30T12:59:37.000Z,False,False,169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
842000,2024-04-06T22:27:40.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
842,2022-12-08T01:31:35.000Z,False,False,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
839500,2024-06-17T04:04:48.000Z,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8356,2024-07-11T00:48:49.000Z,False,False,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
834500,2024-06-04T04:47:00.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
833900,2024-02-17T00:39:04.000Z,False,False,41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
833800,2024-03-29T19:42:19.000Z,False,False,16,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
833,2024-07-11T00:21:29.000Z,False,False,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8309,2024-07-10T23:46:26.000Z,False,False,67,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8300000,2024-06-17T21:02:04.000Z,True,False,49,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8300000,2023-12-23T05:22:05.000Z,False,False,147,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83000,2023-03-30T00:21:22.000Z,False,False,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
830,2024-07-11T02:50:18.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82700,2024-05-30T18:03:41.000Z,False,False,96,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
826200,2024-05-13T00:26:24.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8261,2024-07-11T00:36:07.000Z,False,False,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
825700,2024-03-30T15:36:18.000Z,False,False,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
824600,2024-06-02T01:40:13.000Z,False,False,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
823,2024-07-11T01:48:09.000Z,False,False,59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8215,2024-07-11T01:29:59.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82100,2024-06-11T03:42:14.000Z,False,False,23,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8209,2024-01-04T03:29:41.000Z,False,False,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8205,2024-07-10T22:04:00.000Z,False,False,59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8200000,2024-03-08T20:18:24.000Z,False,False,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8200000,2023-12-18T07:05:33.000Z,True,False,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8200000,2024-05-28T22:17:23.000Z,False,False,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8200000,2024-03-23T16:55:34.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
819900,2024-06-16T22:49:57.000Z,False,False,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
819700,2024-03-04T05:39:32.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
817000,2024-06-11T05:00:08.000Z,False,False,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
816900,2024-05-05T00:17:36.000Z,False,False,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
816300,2023-12-18T10:22:28.000Z,False,False,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81600,2024-07-01T20:13:47.000Z,False,False,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
815200,2024-04-16T13:55:27.000Z,False,False,22,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81500,2024-01-29T13:06:15.000Z,False,False,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
814000,2024-05-30T01:01:46.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8131,2024-07-11T01:18:22.000Z,False,False,231,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
