diggCount,createTime,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca,hashtags_0_name,hashtags_1_name,hashtags_2_name,hashtags_3_name,hashtags_4_name,hashtags_5_name,hashtags_6_name,hashtags_7_name,hashtags_8_name,hashtags_9_name,hashtags_10_name,hashtags_11_name,hashtags_12_name,hashtags_13_name,hashtags_14_name,hashtags_15_name,hashtags_16_name,hashtags_17_name,hashtags_18_name,hashtags_19_name,hashtags_20_name,hashtags_21_name,hashtags_22_name,hashtags_23_name,hashtags_24_name,hashtags_25_name,hashtags_26_name,hashtags_27_name,hashtags_28_name,hashtags_29_name,hashtags_30_name,hashtags_31_name,hashtags_32_name,hashtags_33_name,hashtags_34_name,hashtags_35_name,hashtags_36_name,hashtags_37_name,hashtags_38_name,hashtags_39_name,hashtags_40_name,hashtags_41_name,hashtags_42_name,hashtags_43_name,hashtags_44_name,hashtags_45_name,hashtags_46_name,hashtags_47_name
44,1720574120,2024-07-10T01:15:20.000Z,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parati,olimpiadas,promocion,promocion,fyp,foryou,todoelmundo,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1720631357,2024-07-10T17:09:17.000Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,capcut,zarumabar,bar,karaoke,amigos,clientes,elmejorbar,promos,callelarga,cuenca,ecuador🇪🇨,barkaraoke,viral,fyp,atencionalcliente,turismo,seguroasisetoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1714583105,2024-05-01T17:05:05.000Z,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fyp,promo,24,ecuador,fypシ゚viral,promo24,quito_ecuador🇪🇨,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81100,1720549562,2024-07-09T18:26:02.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,richardrios🇨🇴,richardrios,viral,palmeiras,colombia,foryou,seleccioncolombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71600,1715176103,2024-05-08T13:48:23.000Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,localvaisayed,foryou,foryoupage,trend,trending,fyp,viral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204100,1712567094,2024-04-08T09:04:54.000Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,localvaisayed,foryou,foryoupage,trend,trending,fyp,trending,ঈদ_মোবারক,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112600,1694961895,2023-09-17T14:44:55.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fyp,dance,sturdy,tutorial,sturdytutorial,whoslocalservice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,1720662716,2024-07-11T01:51:56.000Z,0,0,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,saji❤️kaju,mywife,myworld🌍,karikkuddy😄,pappu🥰,tiktok,fypシ,ganasaji,richard,local,boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63600,1717327673,2024-06-02T11:27:53.000Z,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,তোমাকে,localking,thisislocalhero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42700,1717509667,2024-06-04T14:01:07.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,localvaisayed,foryou,foryoupage,viraltrend,trending,fyp,viral,kabirfaisal443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87900,1718621983,2024-06-17T10:59:43.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,komorebi,girigiri,ローカルカンピオーネ,localcampione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151800,1718608737,2024-06-17T07:18:57.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kabirfaisal443,thisislocalhero,ajairapublic,eidmubarak,prince_riyad_hasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31700,1720617154,2024-07-10T13:12:34.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,heja,brand,localbrand,fyp,capcut,onthisday,fyppppppppppppppppppppppp,fffooorrryyyooouuupppaaagggeee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
