diggCount,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,searchQuery,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,comerciales,santodomingoecuador,guayaquil,cuenca
1356,8,0,0,596,8,18300000000.0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80900,8,0,0,377,8,18300000000.0,1,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,8,0,0,415,8,18300000000.0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,8,0,0,596,8,18300000000.0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15300,8,0,0,596,8,18300000000.0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18100,8,0,0,540,8,18300000000.0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,8,0,0,684,8,18300000000.0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23900,8,0,0,596,8,18300000000.0,1,449,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6948,8,0,0,506,8,18300000000.0,1,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,8,0,0,668,8,18300000000.0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408200,17,1,0,696,17,59000000000.0,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64400,17,0,0,617,17,59000000000.0,1,210,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290800,17,1,0,617,17,59000000000.0,1,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90900,17,0,0,188,17,59000000000.0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740600,17,0,0,108,17,59000000000.0,1,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55700,17,0,0,617,17,59000000000.0,1,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,17,0,0,617,17,59000000000.0,1,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76800,17,1,0,348,17,59000000000.0,1,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,17,0,0,540,17,59000000000.0,1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,17,0,0,617,17,59000000000.0,1,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236000,17,0,0,617,17,59000000000.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314600,17,1,0,617,17,59000000000.0,1,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8675,17,0,0,617,17,59000000000.0,1,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9918,17,0,0,617,17,59000000000.0,1,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,17,0,0,608,17,59000000000.0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100000,17,0,0,617,17,59000000000.0,1,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233900,17,1,0,227,17,59000000000.0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,17,0,0,617,17,59000000000.0,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,17,0,0,700,17,59000000000.0,1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100000,17,1,0,186,17,59000000000.0,1,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125300,17,1,0,354,17,59000000000.0,1,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
